N,S_true,perm_mean,perm_sd,ratio
50000,37167.11976706506,42985.57406653109,1109.149436561566,0.8646416983879174
75000,57452.01173560727,64515.07692665302,1313.6738535438371,0.8905207041901892
100000,79150.60177440853,85968.21459951381,1437.66975237304,0.9206961217367908
125000,102336.29622676884,107392.8276696698,1448.8164739085444,0.9529155572804696
