k,rho_prime,block_mean,block_std,z
2,-0.019570756983643387,-0.019364477769356892,0.0005662968020508561,-0.36425989611710746
3,-0.004364384235824626,-0.005183343670391627,0.0009362153130878081,0.8747554361890575
4,-0.0042279110931359165,-0.003268021075647263,0.0007369816979213268,-1.3024611332900728
5,-0.003878361022613475,-0.002763996103508205,0.0011360472133642237,-0.9809142665869099
6,0.006030975729321789,0.006100693027291689,0.0011131304535869219,-0.0626317407319554
7,0.0042035121580255115,0.0031442035984739474,0.0012486225093513198,0.8483817579917668
8,0.001359579413195445,0.0006131567489793813,0.0015022279195860946,0.4968771079835367
9,0.007948541291367807,0.005293495612526589,0.0009227408502791111,2.877347066663536
10,0.006456726413563304,0.003081185431098366,0.0015045376159899184,2.243573671133495
11,-7.608378656063024e-05,-0.001220754448252901,0.0014228985066692976,0.8044640263005836
12,0.008490095647175315,0.0068144030917912,0.001699085553552847,0.9862320069052342
13,0.005028024258461654,0.00246312335923797,0.001989586352190213,1.2891628937845008
14,0.005964368172544799,0.002747675838571678,0.0019132443538876023,1.6812762716048202
15,0.008505064679833824,0.006766619390390731,0.002017831931144066,0.8615411732816785
16,0.0038657058108635353,-0.00021858798251388965,0.0020274279359005737,2.0145198362195798
17,0.007627635059950596,0.0045198717181652226,0.0017750400267390904,1.7508131056033802
18,0.0020410805302954246,0.0019194546506290282,0.00166910357195613,0.0728689829138974
19,0.009187990755163248,0.002839852615829717,0.0020781942374164253,3.0546413925319245
20,0.00550974723857288,0.0004148424124251019,0.0016189969832470258,3.146951401928832
21,0.0059146217809553855,0.0022312814688943785,0.002504638045334849,1.4706078265167353
22,0.008893610786031117,0.0023115528727119124,0.002274788137799791,2.8934817286701118
23,0.008043198291119531,0.0012867965022381905,0.002096957898218997,3.222001640862573
24,0.008646621462991003,0.001120757929545849,0.002281322930004129,3.298903208513112
25,0.0010582848504381826,0.0007850731503733092,0.0021897532685693083,0.12476825767835399
26,0.010268061656370824,0.0020254036484472666,0.0024259385054575507,3.3977192700393406
27,0.008178740409536499,0.0034097620480460283,0.0024589663832799914,1.9394239766422412
28,0.007843463649942454,-0.001146586302632786,0.0018146912598677085,4.954038271628981
29,0.010826278557032817,0.0013881923658722842,0.002789064980918027,3.383960666292532
30,0.0034525763205848674,0.001662184622149193,0.0027195982151451852,0.6583294872254116
31,0.007243693216370726,-0.0006903671800865531,0.0028681245893988822,2.7662886144427024
32,0.013819352515086045,-0.00024722733142410873,0.0032036545487479358,4.390791713796891
33,0.0025489764692719903,0.00013043373648653078,0.0023519602392732372,1.0283093618677825
34,0.006009302618337306,5.872545083706552e-06,0.0026448049948796914,2.269895166137452
35,0.009808707252346846,9.237352299518408e-05,0.0027595942505211856,3.5209283855829914
36,0.007079599069446534,-0.00024808298489105966,0.002786262832401333,2.6299320972609936
37,0.007086427273068408,0.001156702104683423,0.0021624338649461473,2.7421533044353508
38,0.006963324047765496,-0.000360384725495026,0.0024396884077166497,3.001903337367135
39,0.006065921411654043,8.726912767985862e-05,0.002219988355980709,2.693100739860879
40,0.006397839552135848,-0.0002857793229240103,0.0017267957900469239,3.8705322966291447
41,0.008047452087406072,-8.965433663862922e-06,0.0025602569590245394,3.146722243121815
42,0.005904807584909057,-4.031263292167909e-05,0.0023611276317201876,2.5179156509635394
43,0.009192208782704128,0.00010225547522683063,0.002691729017876599,3.376994209709865
44,0.004541794480292638,4.0165938866943045e-05,0.00279889840340088,1.6083572508226325
45,0.008105947797102317,-0.0002777321709569533,0.002384450995324562,3.515979143416246
46,0.008747217665350937,0.00032007828959347047,0.0019009470784895548,4.433126766713286
47,0.010748512194830365,-6.537788472163838e-05,0.0023398778932454093,4.621561710877632
48,0.006463695902684191,0.0003884225897628162,0.0025886784603367696,2.3468628514531784
49,0.008817140037373345,-2.686359783523062e-05,0.001695988064386396,5.2146614831327325
