N,num_perms,S_true,S_perm_mean,S_perm_std,percentile_true
50000,200,3.7164279489e+04,3.8695065173e+04,7.6877293791e+02,1.5000
100000,200,7.9150542505e+04,8.2914172002e+04,1.1934934205e+03,0.0000
250000,200,2.1745343749e+05,2.2300071419e+05,1.9839201368e+03,0.5000
500000,200,4.4732068158e+05,4.6661652071e+05,3.4040493173e+03,0.0000
1000000,200,9.4164761566e+05,9.7474327042e+05,5.2355007567e+03,0.0000
