N,num_perms,S_true,S_perm_mean,S_perm_std,percentile_true
50000,200,3.7164279489e+04,3.8695065173e+04,7.6877293791e+02,1.5000
100000,200,7.9150542505e+04,8.2914172002e+04,1.1934934205e+03,0.0000
