tau,N,f_true,perm_mean,perm_sd
0.05,50000,0.09994,0.0944073,0.0012779744927110639
0.05,75000,0.0988,0.0943618,0.00107200479802588
0.05,100000,0.0975,0.0943128,0.0009427454614184707
0.1,50000,0.15984,0.1581942,0.0016122066902417634
0.1,75000,0.16065333333333334,0.1581626,0.0013459070099782736
0.1,100000,0.16078,0.1580626,0.0011484760450835082
0.2,50000,0.3003,0.3002996,0.0018052096135196395
0.2,75000,0.30178666666666665,0.3002946,0.0014292774042783984
0.2,100000,0.30189,0.3001973,0.0012799033058640845
